label,bin_center_DA,count
all,2.0250,0
all,2.0750,0
all,2.1250,0
all,2.1750,0
all,2.2250,0
all,2.2750,0
all,2.3250,0
all,2.3750,0
all,2.4250,4
all,2.4750,68
all,2.5250,197
all,2.5750,477
all,2.6250,613
all,2.6750,754
all,2.7250,779
all,2.7750,830
all,2.8250,908
all,2.8750,861
all,2.9250,815
all,2.9750,724
all,3.0250,667
all,3.0750,553
all,3.1250,462
all,3.1750,418
all,3.2250,319
all,3.2750,276
all,3.3250,216
all,3.3750,206
all,3.4250,183
all,3.4750,161
all,3.5250,0
all,3.5750,0
amide_donor->amide_O,2.0250,0
amide_donor->amide_O,2.0750,0
amide_donor->amide_O,2.1250,0
amide_donor->amide_O,2.1750,0
amide_donor->amide_O,2.2250,0
amide_donor->amide_O,2.2750,0
amide_donor->amide_O,2.3250,0
amide_donor->amide_O,2.3750,0
amide_donor->amide_O,2.4250,0
amide_donor->amide_O,2.4750,0
amide_donor->amide_O,2.5250,0
amide_donor->amide_O,2.5750,0
amide_donor->amide_O,2.6250,3
amide_donor->amide_O,2.6750,16
amide_donor->amide_O,2.7250,66
amide_donor->amide_O,2.7750,117
amide_donor->amide_O,2.8250,242
amide_donor->amide_O,2.8750,305
amide_donor->amide_O,2.9250,342
amide_donor->amide_O,2.9750,273
amide_donor->amide_O,3.0250,276
amide_donor->amide_O,3.0750,205
amide_donor->amide_O,3.1250,169
amide_donor->amide_O,3.1750,163
amide_donor->amide_O,3.2250,121
amide_donor->amide_O,3.2750,103
amide_donor->amide_O,3.3250,67
amide_donor->amide_O,3.3750,63
amide_donor->amide_O,3.4250,53
amide_donor->amide_O,3.4750,39
amide_donor->amide_O,3.5250,0
amide_donor->amide_O,3.5750,0
amide_donor->hydroxyl_O,2.0250,0
amide_donor->hydroxyl_O,2.0750,0
amide_donor->hydroxyl_O,2.1250,0
amide_donor->hydroxyl_O,2.1750,0
amide_donor->hydroxyl_O,2.2250,0
amide_donor->hydroxyl_O,2.2750,0
