donor_mol,donor_d,donor_h,acceptor_mol,acceptor_a,total_present,occupancy,continuous_max,continuous_mean,intermittent_max,intermittent_mean
0,2,13,43,1,61,0.6040,14,4.07,14,4.07
1,2,13,45,1,97,0.9604,61,19.40,61,19.40
2,2,13,34,1,100,0.9901,85,50.00,85,50.00
3,2,13,10,1,79,0.7822,24,4.94,24,4.94
5,2,13,18,1,98,0.9703,42,24.50,42,24.50
6,2,13,29,1,48,0.4752,14,2.53,14,2.53
9,2,13,27,1,94,0.9307,23,11.75,23,11.75
11,2,13,59,1,91,0.9010,35,11.38,35,11.38
12,2,13,62,1,99,0.9802,62,33.00,62,33.00
13,2,13,44,1,101,1.0000,101,101.00,101,101.00
21,2,13,37,1,78,0.7723,64,7.80,64,7.80
26,2,13,13,1,101,1.0000,101,101.00,101,101.00
27,2,13,36,1,95,0.9406,41,19.00,41,19.00
32,2,13,31,1,6,0.0594,3,1.50,3,1.50
34,2,13,53,1,98,0.9703,40,24.50,40,24.50
38,2,13,0,1,93,0.9208,42,11.62,42,11.62
38,2,13,23,1,33,0.3267,9,2.06,9,2.06
39,2,13,35,1,92,0.9109,25,13.14,25,13.14
40,2,13,51,1,100,0.9901,80,50.00,80,50.00
47,2,13,19,1,101,1.0000,101,101.00,101,101.00
48,2,13,23,1,97,0.9604,40,19.40,40,19.40
50,2,13,21,1,96,0.9505,55,19.20,55,19.20
51,2,13,55,1,76,0.7525,14,4.00,14,4.00
55,2,13,25,1,6,0.0594,4,3.00,4,3.00
58,2,13,32,1,92,0.9109,40,10.22,40,10.22
59,2,13,5,1,98,0.9703,39,24.50,39,24.50
61,2,13,14,1,100,0.9901,50,50.00,50,50.00
7,2,13,55,0,79,0.7822,8,3.59,8,3.59
8,2,13,26,0,11,0.1089,11,11.00,11,11.00
10,2,13,6,0,57,0.5644,8,2.38,8,2.38
15,2,13,53,0,100,0.9901,94,50.00,94,50.00
16,2,13,19,0,75,0.7426,10,3.75,10,3.75
18,2,13,32,0,78,0.7723,17,3.55,17,3.55
19,2,13,0,0,13,0.1287,1,1.00,1,1.00
22,2,13,45,0,101,1.0000,101,101.00,101,101.00
23,2,13,60,0,49,0.4851,4,2.04,4,2.04
24,2,13,23,0,87,0.8614,64,14.50,64,14.50
25,2,13,44,0,22,0.2178,22,22.00,22,22.00
29,2,13,55,0,89,0.8812,32,8.09,32,8.09
30,2,13,42,0,100,0.9901,54,50.00,54,50.00
35,2,13,48,0,91,0.9010,15,8.27,15,8.27
37,2,13,34,0,101,1.0000,101,101.00,101,101.00
41,2,13,6,0,78,0.7723,9,3.71,9,3.71
42,2,13,54,0,97,0.9604,87,24.25,87,24.25
43,2,13,40,0,79,0.7822,17,4.65,17,4.65
53,2,13,26,0,97,0.9604,56,19.40,56,19.40
56,2,13,47,0,1,0.0099,1,1.00,1,1.00
57,2,13,50,0,94,0.9307,28,11.75,28,11.75
58,2,13,3,0,31,0.3069,3,1.41,3,1.41
63,2,13,57,0,55,0.5446,8,1.96,8,1.96
0,0,19,30,1,101,1.0000,101,101.00,101,101.00
2,0,19,17,1,100,0.9901,83,50.00,83,50.00
6,0,19,28,1,101,1.0000,101,101.00,101,101.00
7,0,19,63,1,100,0.9901,100,100.00,100,100.00
8,0,19,16,1,101,1.0000,101,101.00,101,101.00
11,0,19,49,1,101,1.0000,101,101.00,101,101.00
13,0,19,24,1,100,0.9901,93,50.00,93,50.00
16,0,19,42,1,92,0.9109,35,11.50,35,11.50
18,0,19,48,1,101,1.0000,101,101.00,101,101.00
19,0,19,22,1,101,1.0000,101,101.00,101,101.00
22,0,19,12,1,99,0.9802,52,33.00,52,33.00
26,0,19,1,1,101,1.0000,101,101.00,101,101.00
27,0,19,26,1,101,1.0000,101,101.00,101,101.00
30,0,19,2,1,94,0.9307,51,23.50,51,23.50
33,0,19,57,1,101,1.0000,101,101.00,101,101.00
34,0,19,52,1,101,1.0000,101,101.00,101,101.00
36,0,19,33,1,99,0.9802,53,33.00,53,33.00
38,0,19,6,1,101,1.0000,101,101.00,101,101.00
39,0,19,41,1,101,1.0000,101,101.00,101,101.00
40,0,19,4,1,101,1.0000,101,101.00,101,101.00
42,0,19,62,1,11,0.1089,5,1.57,5,1.57
43,0,19,61,1,98,0.9703,47,24.50,47,24.50
44,0,19,38,1,100,0.9901,74,50.00,74,50.00
45,0,19,15,1,101,1.0000,101,101.00,101,101.00
48,0,19,60,1,101,1.0000,101,101.00,101,101.00
52,0,19,11,1,94,0.9307,28,11.75,28,11.75
53,0,19,54,1,101,1.0000,101,101.00,101,101.00
54,0,19,8,1,96,0.9505,58,19.20,58,19.20
55,0,19,9,1,101,1.0000,101,101.00,101,101.00
56,0,19,46,1,100,0.9901,71,50.00,71,50.00
57,0,19,11,1,101,1.0000,101,101.00,101,101.00
58,0,19,7,1,101,1.0000,101,101.00,101,101.00
59,0,19,58,1,101,1.0000,101,101.00,101,101.00
60,0,19,40,1,97,0.9604,49,32.33,49,32.33
62,0,19,20,1,92,0.9109,80,18.40,80,18.40
