record,donor_type,acceptor_type,n_hbonds,n_uniq_donors,n_uniq_acceptors,ratio_donor_busy,ratio_acceptor_busy
0,amide_donor,amide_O,27,26,26,0.4062,0.4062
0,amide_donor,hydroxyl_O,23,23,20,0.3594,0.3125
0,hydroxyl,amide_O,35,35,34,0.5469,0.5312
0,hydroxyl,hydroxyl_O,20,20,19,0.3125,0.2969
1,amide_donor,amide_O,27,27,27,0.4219,0.4219
1,amide_donor,hydroxyl_O,21,21,19,0.3281,0.2969
1,hydroxyl,amide_O,34,34,33,0.5312,0.5156
1,hydroxyl,hydroxyl_O,18,18,18,0.2812,0.2812
2,amide_donor,amide_O,30,30,30,0.4688,0.4688
2,amide_donor,hydroxyl_O,21,21,20,0.3281,0.3125
2,hydroxyl,amide_O,36,36,32,0.5625,0.5000
2,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
3,amide_donor,amide_O,28,28,28,0.4375,0.4375
3,amide_donor,hydroxyl_O,27,27,24,0.4219,0.3750
3,hydroxyl,amide_O,37,37,34,0.5781,0.5312
3,hydroxyl,hydroxyl_O,18,18,18,0.2812,0.2812
4,amide_donor,amide_O,26,26,26,0.4062,0.4062
4,amide_donor,hydroxyl_O,23,23,22,0.3594,0.3438
4,hydroxyl,amide_O,36,35,33,0.5469,0.5156
4,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
5,amide_donor,amide_O,27,27,27,0.4219,0.4219
5,amide_donor,hydroxyl_O,23,23,21,0.3594,0.3281
5,hydroxyl,amide_O,36,36,34,0.5625,0.5312
5,hydroxyl,hydroxyl_O,20,20,20,0.3125,0.3125
6,amide_donor,amide_O,25,25,25,0.3906,0.3906
6,amide_donor,hydroxyl_O,21,21,19,0.3281,0.2969
6,hydroxyl,amide_O,37,37,35,0.5781,0.5469
6,hydroxyl,hydroxyl_O,22,22,21,0.3438,0.3281
7,amide_donor,amide_O,27,27,27,0.4219,0.4219
7,amide_donor,hydroxyl_O,21,21,18,0.3281,0.2812
7,hydroxyl,amide_O,37,36,36,0.5625,0.5625
7,hydroxyl,hydroxyl_O,20,20,20,0.3125,0.3125
8,amide_donor,amide_O,27,26,26,0.4062,0.4062
8,amide_donor,hydroxyl_O,23,23,21,0.3594,0.3281
8,hydroxyl,amide_O,39,39,36,0.6094,0.5625
8,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
9,amide_donor,amide_O,26,26,26,0.4062,0.4062
9,amide_donor,hydroxyl_O,20,20,18,0.3125,0.2812
9,hydroxyl,amide_O,41,41,37,0.6406,0.5781
9,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
10,amide_donor,amide_O,25,25,25,0.3906,0.3906
10,amide_donor,hydroxyl_O,21,21,18,0.3281,0.2812
10,hydroxyl,amide_O,40,40,36,0.6250,0.5625
10,hydroxyl,hydroxyl_O,19,18,18,0.2812,0.2812
11,amide_donor,amide_O,22,22,22,0.3438,0.3438
11,amide_donor,hydroxyl_O,20,20,20,0.3125,0.3125
11,hydroxyl,amide_O,39,39,37,0.6094,0.5781
11,hydroxyl,hydroxyl_O,18,17,18,0.2656,0.2812
12,amide_donor,amide_O,25,25,25,0.3906,0.3906
12,amide_donor,hydroxyl_O,22,22,20,0.3438,0.3125
12,hydroxyl,amide_O,38,38,35,0.5938,0.5469
12,hydroxyl,hydroxyl_O,18,18,18,0.2812,0.2812
13,amide_donor,amide_O,23,23,23,0.3594,0.3594
13,amide_donor,hydroxyl_O,20,20,19,0.3125,0.2969
13,hydroxyl,amide_O,40,40,36,0.6250,0.5625
13,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
14,amide_donor,amide_O,24,24,23,0.3750,0.3594
14,amide_donor,hydroxyl_O,20,20,19,0.3125,0.2969
14,hydroxyl,amide_O,41,41,37,0.6406,0.5781
14,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
15,amide_donor,amide_O,20,20,19,0.3125,0.2969
15,amide_donor,hydroxyl_O,24,24,23,0.3750,0.3594
15,hydroxyl,amide_O,40,40,37,0.6250,0.5781
15,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
16,amide_donor,amide_O,25,25,25,0.3906,0.3906
16,amide_donor,hydroxyl_O,21,21,21,0.3281,0.3281
16,hydroxyl,amide_O,39,39,36,0.6094,0.5625
16,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
17,amide_donor,amide_O,22,22,22,0.3438,0.3438
17,amide_donor,hydroxyl_O,23,23,22,0.3594,0.3438
17,hydroxyl,amide_O,38,38,35,0.5938,0.5469
17,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
18,amide_donor,amide_O,24,24,24,0.3750,0.3750
18,amide_donor,hydroxyl_O,21,21,21,0.3281,0.3281
18,hydroxyl,amide_O,36,36,35,0.5625,0.5469
18,hydroxyl,hydroxyl_O,22,22,21,0.3438,0.3281
19,amide_donor,amide_O,24,24,24,0.3750,0.3750
19,amide_donor,hydroxyl_O,18,18,17,0.2812,0.2656
19,hydroxyl,amide_O,40,40,36,0.6250,0.5625
19,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
20,amide_donor,amide_O,23,23,23,0.3594,0.3594
20,amide_donor,hydroxyl_O,18,18,18,0.2812,0.2812
20,hydroxyl,amide_O,41,41,36,0.6406,0.5625
20,hydroxyl,hydroxyl_O,17,17,16,0.2656,0.2500
21,amide_donor,amide_O,26,26,26,0.4062,0.4062
21,amide_donor,hydroxyl_O,23,23,22,0.3594,0.3438
21,hydroxyl,amide_O,39,39,36,0.6094,0.5625
21,hydroxyl,hydroxyl_O,21,21,20,0.3281,0.3125
