record,kind,donor_mol,donor_d,donor_h,acceptor_mol,acceptor_a,d_da,d_ha,angle
0,amide_donor->amide_O,0,2,13,43,1,3.0317,2.0220,166.93
0,amide_donor->amide_O,1,2,13,45,1,3.2559,2.5556,125.87
0,amide_donor->amide_O,2,2,13,34,1,3.0403,2.1187,148.84
0,amide_donor->amide_O,3,2,13,10,1,2.9007,1.9206,158.98
0,amide_donor->amide_O,5,2,13,18,1,2.9149,1.9558,156.26
0,amide_donor->amide_O,6,2,13,29,1,2.8573,1.8766,161.22
0,amide_donor->amide_O,9,2,13,27,1,3.0143,2.0388,158.93
0,amide_donor->amide_O,11,2,13,59,1,2.9392,1.9627,159.11
0,amide_donor->amide_O,12,2,13,62,1,2.9544,2.2921,120.91
0,amide_donor->amide_O,13,2,13,44,1,2.9308,1.9403,163.34
0,amide_donor->amide_O,21,2,13,37,1,2.8468,1.8361,168.40
0,amide_donor->amide_O,26,2,13,13,1,2.9612,1.9527,169.36
0,amide_donor->amide_O,27,2,13,36,1,2.8174,1.8335,159.41
0,amide_donor->amide_O,32,2,13,31,1,3.0733,2.1269,151.28
0,amide_donor->amide_O,34,2,13,53,1,3.0589,2.3237,127.70
0,amide_donor->amide_O,38,2,13,0,1,3.0669,2.1792,144.48
0,amide_donor->amide_O,38,2,13,23,1,3.3283,2.6018,128.03
0,amide_donor->amide_O,39,2,13,35,1,3.2718,2.3742,145.87
0,amide_donor->amide_O,40,2,13,51,1,2.8103,1.7996,170.93
0,amide_donor->amide_O,47,2,13,19,1,2.8304,1.8597,155.82
0,amide_donor->amide_O,48,2,13,23,1,2.8853,2.0188,140.67
0,amide_donor->amide_O,50,2,13,21,1,2.8440,1.8349,167.86
0,amide_donor->amide_O,51,2,13,55,1,2.8264,1.8294,163.83
0,amide_donor->amide_O,55,2,13,25,1,2.7649,1.7700,164.55
0,amide_donor->amide_O,58,2,13,32,1,2.7683,2.0347,126.05
0,amide_donor->amide_O,59,2,13,5,1,3.0625,2.3591,125.15
0,amide_donor->amide_O,61,2,13,14,1,3.1342,2.2302,147.16
0,amide_donor->hydroxyl_O,7,2,13,55,0,3.2905,2.3086,159.66
0,amide_donor->hydroxyl_O,8,2,13,26,0,2.9779,2.0958,143.40
0,amide_donor->hydroxyl_O,10,2,13,6,0,3.3441,2.4235,148.58
0,amide_donor->hydroxyl_O,15,2,13,53,0,3.0864,2.0813,168.91
0,amide_donor->hydroxyl_O,16,2,13,19,0,2.9691,1.9657,164.10
0,amide_donor->hydroxyl_O,18,2,13,32,0,3.0750,2.0607,176.56
0,amide_donor->hydroxyl_O,19,2,13,0,0,3.2327,2.3724,140.62
0,amide_donor->hydroxyl_O,22,2,13,45,0,2.8195,1.8045,169.32
0,amide_donor->hydroxyl_O,23,2,13,60,0,3.1381,2.2600,143.68
0,amide_donor->hydroxyl_O,24,2,13,23,0,2.8293,2.0229,134.51
0,amide_donor->hydroxyl_O,25,2,13,44,0,3.3451,2.6640,123.44
0,amide_donor->hydroxyl_O,29,2,13,55,0,3.0150,1.9871,174.89
0,amide_donor->hydroxyl_O,30,2,13,42,0,3.1869,2.2507,152.41
0,amide_donor->hydroxyl_O,35,2,13,48,0,2.8984,1.9505,153.07
0,amide_donor->hydroxyl_O,37,2,13,34,0,3.0832,2.0618,176.82
0,amide_donor->hydroxyl_O,41,2,13,6,0,3.1769,2.2525,150.42
0,amide_donor->hydroxyl_O,42,2,13,54,0,3.1643,2.1533,169.01
0,amide_donor->hydroxyl_O,43,2,13,40,0,2.8204,1.8472,157.28
0,amide_donor->hydroxyl_O,53,2,13,26,0,3.0382,2.1237,148.66
0,amide_donor->hydroxyl_O,56,2,13,47,0,3.4655,2.7310,128.98
0,amide_donor->hydroxyl_O,57,2,13,50,0,3.0115,2.0234,161.85
0,amide_donor->hydroxyl_O,58,2,13,3,0,3.0146,2.1770,137.24
0,amide_donor->hydroxyl_O,63,2,13,57,0,3.2640,2.3224,152.28
0,hydroxyl->amide_O,0,0,19,30,1,2.6390,1.6602,173.59
0,hydroxyl->amide_O,2,0,19,17,1,2.7099,1.7416,166.83
0,hydroxyl->amide_O,6,0,19,28,1,2.6454,1.6714,170.59
0,hydroxyl->amide_O,7,0,19,63,1,2.6462,1.6810,168.52
0,hydroxyl->amide_O,8,0,19,16,1,2.8126,1.9504,145.63
0,hydroxyl->amide_O,11,0,19,49,1,2.7719,1.7935,177.92
0,hydroxyl->amide_O,13,0,19,24,1,2.6161,1.6434,170.44
0,hydroxyl->amide_O,16,0,19,42,1,2.6870,1.9829,126.91
0,hydroxyl->amide_O,18,0,19,48,1,2.6336,1.7406,149.33
