record,donor_type,acceptor_type,n_hbonds,n_uniq_donors,n_uniq_acceptors,ratio_donor_busy,ratio_acceptor_busy
0,hydroxyl,hydroxyl_O,188,186,179,0.6200,0.5967
1,hydroxyl,hydroxyl_O,191,188,179,0.6267,0.5967
2,hydroxyl,hydroxyl_O,200,197,189,0.6567,0.6300
3,hydroxyl,hydroxyl_O,193,192,184,0.6400,0.6133
4,hydroxyl,hydroxyl_O,200,196,184,0.6533,0.6133
5,hydroxyl,hydroxyl_O,206,200,191,0.6667,0.6367
6,hydroxyl,hydroxyl_O,205,197,189,0.6567,0.6300
7,hydroxyl,hydroxyl_O,202,199,188,0.6633,0.6267
8,hydroxyl,hydroxyl_O,199,197,187,0.6567,0.6233
9,hydroxyl,hydroxyl_O,200,199,187,0.6633,0.6233
10,hydroxyl,hydroxyl_O,193,191,185,0.6367,0.6167
11,hydroxyl,hydroxyl_O,193,191,184,0.6367,0.6133
12,hydroxyl,hydroxyl_O,193,192,183,0.6400,0.6100
13,hydroxyl,hydroxyl_O,198,196,187,0.6533,0.6233
14,hydroxyl,hydroxyl_O,200,198,187,0.6600,0.6233
15,hydroxyl,hydroxyl_O,192,190,183,0.6333,0.6100
16,hydroxyl,hydroxyl_O,192,189,179,0.6300,0.5967
17,hydroxyl,hydroxyl_O,194,190,181,0.6333,0.6033
18,hydroxyl,hydroxyl_O,196,192,187,0.6400,0.6233
19,hydroxyl,hydroxyl_O,205,203,193,0.6767,0.6433
20,hydroxyl,hydroxyl_O,200,199,188,0.6633,0.6267
21,hydroxyl,hydroxyl_O,197,193,184,0.6433,0.6133
22,hydroxyl,hydroxyl_O,200,196,188,0.6533,0.6267
23,hydroxyl,hydroxyl_O,197,196,184,0.6533,0.6133
24,hydroxyl,hydroxyl_O,197,196,182,0.6533,0.6067
25,hydroxyl,hydroxyl_O,197,197,188,0.6567,0.6267
26,hydroxyl,hydroxyl_O,203,199,188,0.6633,0.6267
27,hydroxyl,hydroxyl_O,202,201,189,0.6700,0.6300
28,hydroxyl,hydroxyl_O,199,196,182,0.6533,0.6067
29,hydroxyl,hydroxyl_O,194,192,182,0.6400,0.6067
