record,kind,donor_mol,donor_d,donor_h,acceptor_mol,acceptor_a,d_da,d_ha,angle
0,hydroxyl->hydroxyl_O,0,2,35,4,14,2.9553,2.1475,138.89
0,hydroxyl->hydroxyl_O,0,5,39,3,2,2.8976,2.0965,137.11
0,hydroxyl->hydroxyl_O,0,8,43,7,2,2.5720,1.6612,152.99
0,hydroxyl->hydroxyl_O,0,11,47,7,5,2.9130,2.0573,144.26
0,hydroxyl->hydroxyl_O,0,14,51,11,11,2.8683,1.8958,168.91
0,hydroxyl->hydroxyl_O,0,17,55,3,14,2.6953,1.7141,174.82
0,hydroxyl->hydroxyl_O,0,20,59,26,17,3.1074,2.2630,143.71
0,hydroxyl->hydroxyl_O,0,23,63,21,29,2.6595,1.7171,160.09
0,hydroxyl->hydroxyl_O,0,26,67,26,11,2.6703,1.7175,161.81
0,hydroxyl->hydroxyl_O,0,29,71,2,14,2.8751,2.0266,143.41
0,hydroxyl->hydroxyl_O,1,2,35,15,29,3.0184,2.0527,170.94
0,hydroxyl->hydroxyl_O,1,5,39,8,2,3.0507,2.2870,134.39
0,hydroxyl->hydroxyl_O,1,11,47,23,2,2.5816,1.7381,142.66
0,hydroxyl->hydroxyl_O,1,14,51,2,23,2.9686,2.0270,160.31
0,hydroxyl->hydroxyl_O,1,23,63,14,26,2.8420,2.0482,136.98
0,hydroxyl->hydroxyl_O,1,29,71,15,8,2.6845,1.7025,175.17
0,hydroxyl->hydroxyl_O,2,2,35,29,29,3.1296,2.1485,175.35
0,hydroxyl->hydroxyl_O,2,5,39,4,29,2.8379,1.9027,159.50
0,hydroxyl->hydroxyl_O,2,8,43,12,29,3.0473,2.0961,162.70
0,hydroxyl->hydroxyl_O,2,14,51,1,17,2.7252,1.7712,162.32
0,hydroxyl->hydroxyl_O,2,17,55,4,11,2.8765,2.0077,146.74
0,hydroxyl->hydroxyl_O,2,20,59,0,5,2.9761,2.2020,134.46
0,hydroxyl->hydroxyl_O,2,23,63,10,23,2.8312,1.8552,170.99
0,hydroxyl->hydroxyl_O,2,29,71,6,5,2.6964,1.7941,150.84
0,hydroxyl->hydroxyl_O,3,5,39,27,20,2.7813,1.8174,166.43
0,hydroxyl->hydroxyl_O,3,8,43,19,8,2.9575,1.9825,174.90
0,hydroxyl->hydroxyl_O,3,20,59,5,29,2.7034,1.8578,142.21
0,hydroxyl->hydroxyl_O,3,23,63,11,26,2.9145,1.9483,169.26
0,hydroxyl->hydroxyl_O,4,2,35,14,2,2.7120,1.7842,155.95
0,hydroxyl->hydroxyl_O,4,5,39,23,5,2.6233,1.6462,172.81
0,hydroxyl->hydroxyl_O,4,8,43,21,8,2.8607,1.9580,151.37
0,hydroxyl->hydroxyl_O,4,11,47,0,2,2.5606,1.6063,162.09
0,hydroxyl->hydroxyl_O,4,14,51,28,29,2.9111,1.9436,168.65
0,hydroxyl->hydroxyl_O,4,29,71,18,5,2.5078,1.5864,154.62
0,hydroxyl->hydroxyl_O,5,8,43,20,26,2.6912,1.7240,168.03
0,hydroxyl->hydroxyl_O,5,11,47,18,2,2.8509,1.9031,161.73
0,hydroxyl->hydroxyl_O,5,17,55,24,29,2.5675,1.6024,168.71
0,hydroxyl->hydroxyl_O,5,23,63,7,23,2.9801,2.1098,146.68
0,hydroxyl->hydroxyl_O,5,26,67,3,26,2.6082,1.6320,169.02
0,hydroxyl->hydroxyl_O,5,29,71,27,26,2.9480,1.9713,173.03
0,hydroxyl->hydroxyl_O,6,2,35,22,29,2.9004,2.1581,131.22
0,hydroxyl->hydroxyl_O,6,8,43,21,17,2.6056,1.6596,160.85
0,hydroxyl->hydroxyl_O,6,11,47,9,14,3.0514,2.0812,171.95
0,hydroxyl->hydroxyl_O,6,14,51,22,23,3.2006,2.3028,151.18
0,hydroxyl->hydroxyl_O,6,17,55,28,8,3.0680,2.2166,144.75
0,hydroxyl->hydroxyl_O,6,20,59,26,26,2.4671,1.5115,162.79
0,hydroxyl->hydroxyl_O,6,23,63,9,23,2.7292,1.7530,175.38
0,hydroxyl->hydroxyl_O,6,26,67,26,29,2.9604,2.0768,147.90
0,hydroxyl->hydroxyl_O,6,29,71,24,11,2.8569,1.8923,166.88
0,hydroxyl->hydroxyl_O,7,2,35,21,11,2.7089,1.7334,170.17
0,hydroxyl->hydroxyl_O,7,8,43,0,23,3.0058,2.2032,138.20
0,hydroxyl->hydroxyl_O,7,14,51,12,17,3.3408,2.4450,151.72
0,hydroxyl->hydroxyl_O,7,14,51,12,20,3.0647,2.4347,121.64
0,hydroxyl->hydroxyl_O,7,17,55,18,17,3.1649,2.2897,148.52
0,hydroxyl->hydroxyl_O,7,20,59,21,20,3.0412,2.0707,172.16
0,hydroxyl->hydroxyl_O,7,29,71,4,2,2.7494,1.8359,153.42
