,I,J,DIST,DIMER-ES,HF-IFIE,MP2-IFIE,PR-TYPE1,GRIMME,JUNG,HILL,ES,EX,CT-mix,DI(MP2),q(I=>J),DIMER-HF,DIMER-MP2,DIMER-ES-BSSE,HF-BSSE,MP2-BSSE,PR-T1-BSSE,GRIMME-BSSE,JUNG-BSSE,HILL-BSSE,TIMES
0,UNK2(2),UNK1(1),3.956813,F,-23.643303,0.105422,0.081576,0.136797,0.153112,-0.021963,-22.276183,0.029325,-1.396642,0.105199,-0.009098,,,,,,,,,,00001
1,UNK3(3),UNK1(1),1.942649,F,21.209821,-2.231424,-2.156750,-1.708708,-1.447037,-1.968497,21.492752,1.432609,-1.715551,-2.231522,-0.002056,,,,,,,,,,00001
2,UNK4(4),UNK1(1),4.475804,F,-8.103658,-0.506400,-0.470005,-0.446159,-0.416039,-0.327560,-7.538948,0.002787,-0.567278,-0.506124,-0.002778,,,,,,,,,,00001
3,UNK5(5),UNK1(1),1.942649,F,20.869083,-2.311117,-2.225149,-1.782127,-1.517945,-2.012423,21.130424,1.488350,-1.749775,-2.310911,-0.002185,,,,,,,,,,00001
4,UNK6(6),UNK1(1),4.421997,F,-5.921180,-0.845883,-0.761169,-0.783759,-0.753011,-0.469377,-5.861161,0.001096,-0.061295,-0.845943,-0.000191,,,,,,,,,,00001
5,UNK7(7),UNK1(1),3.246426,F,2.782377,-1.217996,-1.140185,-0.995230,-0.884161,-0.946284,3.768768,0.121943,-1.108267,-1.217885,-0.009834,,,,,,,,,,00001
6,UNK8(8),UNK1(1),1.079794,F,-709.048084,36.930189,30.653212,37.300420,37.485535,14.247603,-1114.256730,1349.631718,-944.423148,36.930263,0.015641,,,,,,,,,,00001
7,UNK10(10),UNK1(1),3.246426,F,2.890309,-1.186620,-1.103162,-0.994603,-0.898594,-0.872238,3.500735,0.107068,-0.717718,-1.186554,0.005937,,,,,,,,,,00001
8,UNK11(11),UNK1(1),2.530910,F,6.958453,-1.499748,-1.436997,-1.229919,-1.095004,-1.156500,7.215922,0.517037,-0.774662,-1.499493,0.010283,,,,,,,,,,00001
9,UNK12(12),UNK1(1),3.071047,F,2.184361,-0.685240,-0.781877,-0.292419,-0.095381,-1.076806,1.125785,3.128801,-2.070498,-0.685346,-0.000445,,,,,,,,,,00001
10,UNK13(13),UNK1(1),2.762481,F,17.442254,-1.217368,-1.258157,-0.685868,-0.420431,-1.573794,19.040657,1.382114,-2.980255,-1.217537,-0.027138,,,,,,,,,,00001
11,UNK14(14),UNK1(1),5.019068,F,-3.621357,0.084086,0.073419,0.087224,0.089106,0.026983,-3.619797,0.000003,-0.001828,0.083899,-0.000003,,,,,,,,,,00001
12,UNK15(15),UNK1(1),4.498788,F,-26.506001,0.354543,0.302460,0.348895,0.346385,0.155622,-25.945273,0.021092,-0.581899,0.354764,-0.000036,,,,,,,,,,00001
13,UNK16(16),UNK1(1),3.490803,F,11.038520,-0.097891,-0.098519,-0.033886,-0.001883,-0.170683,11.175496,0.004574,-0.141566,-0.098077,-0.000822,,,,,,,,,,00001
14,UNK17(17),UNK1(1),3.923041,F,-19.802317,-0.259789,-0.252259,-0.225276,-0.207706,-0.175703,-19.491115,0.019793,-0.330825,-0.259855,-0.000546,,,,,,,,,,00001
