,I,J,DIST,DIMER-ES,HF-IFIE,MP2-IFIE,PR-TYPE1,GRIMME,JUNG,HILL,ES,EX,CT-mix,DI(MP2),q(I=>J),DIMER-HF,DIMER-MP2,DIMER-ES-BSSE,HF-BSSE,MP2-BSSE,PR-T1-BSSE,GRIMME-BSSE,JUNG-BSSE,HILL-BSSE,TIMES
0,UNK2(2),UNK1(1),2.041783,F,-10.495724,-2.272212,-2.180596,-1.827935,-1.605797,-1.824798,-12.546507,4.295450,-2.244862,-2.272227,0.032710,,,,,,,,,,00001
1,UNK3(3),UNK1(1),4.004162,F,1.640310,-0.222138,-0.212098,-0.178840,-0.156877,-0.178840,1.705208,0.011387,-0.076511,-0.222391,-0.000012,,,,,,,,,,00001
2,UNK4(4),UNK1(1),2.041783,F,-12.963091,-2.455445,-2.351906,-2.006148,-1.781499,-1.910139,-14.602605,4.184421,-2.544606,-2.455694,-0.037670,,,,,,,,,,00001
3,UNK5(5),UNK1(1),2.063038,F,-13.870470,-3.334585,-3.201553,-2.656875,-2.318020,-2.730294,-18.834479,8.320884,-3.356911,-3.334333,0.053144,,,,,,,,,,00001
4,UNK7(7),UNK1(1),2.523683,F,0.692770,-1.312750,-1.261922,-1.074296,-0.955697,-1.015938,0.602282,0.876736,-0.786441,-1.312465,-0.004168,,,,,,,,,,00001
5,UNK8(8),UNK1(1),2.523683,F,-0.365211,-1.298317,-1.243096,-1.061119,-0.942519,-1.008408,-0.603569,0.927667,-0.689349,-1.298130,0.002161,,,,,,,,,,00001
6,UNK9(9),UNK1(1),5.515961,F,1.566891,-0.052083,-0.049573,-0.043298,-0.038906,-0.039533,1.567324,0.000000,-0.000337,-0.052226,0.000000,,,,,,,,,,00001
7,UNK10(10),UNK1(1),5.515961,F,1.668548,-0.055221,-0.052083,-0.045808,-0.041416,-0.040788,1.668925,0.000000,-0.000401,-0.054930,-0.000000,,,,,,,,,,00001
8,UNK11(11),UNK1(1),4.004162,F,1.657880,-0.222766,-0.212726,-0.178840,-0.157505,-0.178840,1.721841,0.011515,-0.075559,-0.222629,0.000024,,,,,,,,,,00001
9,UNK12(12),UNK1(1),3.903659,F,1.566891,-0.065888,-0.062751,-0.055221,-0.049573,-0.049573,1.587119,0.000069,-0.020530,-0.066158,-0.000003,,,,,,,,,,00001
