record,group_type,mol_index,group_index,role,partner_count,partners
0,carboxyl,0,0,single,1,47:0
0,carboxyl,1,0,free,0,
0,carboxyl,2,0,single,1,92:0
0,carboxyl,3,0,free,0,
0,carboxyl,4,0,free,0,
0,carboxyl,5,0,free,0,
0,carboxyl,6,0,free,0,
0,carboxyl,7,0,single,1,101:0
0,carboxyl,8,0,free,0,
0,carboxyl,9,0,free,0,
0,carboxyl,10,0,free,0,
0,carboxyl,11,0,single,1,67:0
0,carboxyl,12,0,free,0,
0,carboxyl,13,0,single,1,76:0
0,carboxyl,14,0,free,0,
0,carboxyl,15,0,single,1,114:0
0,carboxyl,16,0,free,0,
0,carboxyl,17,0,dual,1,72:0
0,carboxyl,18,0,free,0,
0,carboxyl,19,0,free,0,
0,carboxyl,20,0,free,0,
0,carboxyl,21,0,free,0,
0,carboxyl,22,0,free,0,
0,carboxyl,23,0,single,1,44:0
0,carboxyl,24,0,single,1,93:0
0,carboxyl,25,0,single,1,32:0
0,carboxyl,26,0,single,1,13:0
0,carboxyl,27,0,dual,1,59:0
0,carboxyl,28,0,single,1,86:0
0,carboxyl,29,0,free,0,
0,carboxyl,30,0,free,0,
0,carboxyl,31,0,free,0,
0,carboxyl,32,0,free,0,
0,carboxyl,33,0,single,1,41:0
0,carboxyl,34,0,single,1,75:0
0,carboxyl,35,0,single,1,71:0
0,carboxyl,36,0,single,1,55:0
0,carboxyl,37,0,free,0,
0,carboxyl,38,0,dual,1,49:0
0,carboxyl,39,0,single,1,123:0
0,carboxyl,40,0,free,0,
0,carboxyl,41,0,single,1,46:0
0,carboxyl,42,0,free,0,
0,carboxyl,43,0,single,1,9:0
0,carboxyl,44,0,single,1,80:0
0,carboxyl,45,0,single,1,22:0
0,carboxyl,46,0,free,0,
0,carboxyl,47,0,free,0,
0,carboxyl,48,0,free,0,
0,carboxyl,49,0,dual,1,38:0
0,carboxyl,50,0,single,1,110:0
0,carboxyl,51,0,single,1,118:0
0,carboxyl,52,0,free,0,
0,carboxyl,53,0,free,0,
0,carboxyl,54,0,single,1,105:0
0,carboxyl,55,0,free,0,
0,carboxyl,56,0,single,1,72:0
0,carboxyl,57,0,free,0,
0,carboxyl,58,0,free,0,
0,carboxyl,59,0,dual,1,27:0
0,carboxyl,60,0,free,0,
0,carboxyl,61,0,single,1,122:0
0,carboxyl,62,0,free,0,
0,carboxyl,63,0,single,1,23:0
0,carboxyl,64,0,free,0,
0,carboxyl,65,0,single,1,39:0
0,carboxyl,66,0,free,0,
0,carboxyl,67,0,single,1,10:0
0,carboxyl,68,0,single,1,52:0
0,carboxyl,69,0,free,0,
