record,kind,donor_mol,donor_d,donor_h,acceptor_mol,acceptor_a,d_da,d_ha,angle
0,cc,3,3,40,41,4,2.9189,2.0220,146.19
0,cc,4,3,40,108,4,2.5205,1.5797,156.93
0,cc,5,3,40,122,4,3.1747,2.3167,152.51
0,cc,8,3,40,119,4,2.8564,1.8791,176.05
0,cc,10,3,40,104,4,2.8294,1.9923,148.47
0,cc,14,3,40,40,4,3.2870,2.4695,138.90
0,cc,17,3,40,72,4,2.7618,1.8496,153.57
0,cc,27,3,40,59,4,3.4410,2.8263,121.83
0,cc,29,3,40,66,4,2.7309,1.8142,151.75
0,cc,31,3,40,103,4,3.0471,2.2430,135.31
0,cc,32,3,40,30,4,2.5310,1.6159,156.71
0,cc,38,3,40,49,4,2.8278,1.8815,168.05
0,cc,42,3,40,111,4,2.8391,1.9031,155.34
0,cc,46,3,40,24,4,3.0048,2.2609,132.91
0,cc,47,3,40,4,4,2.5971,1.7620,140.33
0,cc,48,3,40,11,4,2.7771,1.9956,133.77
0,cc,49,3,40,38,4,2.6551,1.7039,161.17
0,cc,52,3,40,37,4,2.6480,1.6923,166.90
0,cc,53,3,40,82,4,2.7855,1.9026,157.85
0,cc,58,3,40,94,4,3.4822,2.6382,155.82
0,cc,59,3,40,27,4,2.7116,1.8169,154.56
0,cc,60,3,40,25,4,2.7517,1.8761,156.90
0,cc,72,3,40,17,4,3.0285,2.1167,159.54
0,cc,76,3,40,67,4,2.7400,1.8024,170.65
0,cc,78,3,40,90,4,2.9152,1.9079,176.02
0,cc,86,3,40,96,4,2.8419,1.9431,145.52
0,cc,92,3,40,123,4,2.8572,1.8686,172.27
0,cc,93,3,40,51,4,2.7435,1.8608,152.11
0,cc,96,3,40,86,4,2.6030,1.6533,159.64
0,cc,112,3,40,2,4,2.7679,2.0643,132.40
0,cc,123,3,40,92,4,2.8637,1.8325,168.94
0,ca,0,3,40,47,2,2.8321,1.8308,163.50
0,ca,2,3,40,92,2,2.7389,1.7683,149.75
0,ca,7,3,40,101,2,2.8662,1.9455,157.19
0,ca,11,3,40,67,2,2.9716,2.0223,164.80
0,ca,13,3,40,76,2,2.6780,1.7677,146.92
0,ca,15,3,40,114,2,2.7222,1.7579,165.45
0,ca,23,3,40,44,2,2.8729,1.8954,171.89
0,ca,24,3,40,93,2,2.5019,1.6357,147.51
0,ca,25,3,40,32,2,2.9125,2.0741,140.23
0,ca,26,3,40,13,2,2.7392,1.7656,170.87
0,ca,27,3,40,21,2,2.6066,1.8504,132.22
0,ca,28,3,40,86,2,2.8262,1.8902,156.34
0,ca,33,3,40,41,2,2.5780,1.6194,160.14
0,ca,34,3,40,75,2,2.7942,1.9118,153.86
0,ca,35,3,40,71,2,2.7203,1.7495,164.33
0,ca,36,3,40,55,2,3.0870,2.2016,151.80
0,ca,39,3,40,123,2,2.6074,1.6007,177.61
0,ca,41,3,40,46,2,2.6615,1.6981,168.69
0,ca,43,3,40,9,2,2.6769,1.9514,128.77
0,ca,44,3,40,80,2,2.8051,1.9680,139.24
0,ca,45,3,40,22,2,2.6847,1.7155,153.53
0,ca,50,3,40,110,2,2.5735,1.6693,147.31
0,ca,51,3,40,118,2,3.1985,2.2857,164.97
0,ca,54,3,40,105,2,2.7391,1.7816,169.55
0,ca,56,3,40,72,2,2.6291,1.8404,139.56
0,ca,61,3,40,122,2,2.7656,1.8637,146.38
0,ca,63,3,40,23,2,2.8268,1.9596,155.57
0,ca,65,3,40,39,2,2.9638,1.9966,170.80
0,ca,67,3,40,10,2,2.7475,1.7682,178.72
0,ca,68,3,40,52,2,2.6481,1.6947,166.54
0,ca,77,3,40,17,2,3.0945,2.1721,148.12
0,ca,80,3,40,119,2,2.5513,1.6024,167.69
0,ca,83,3,40,62,2,2.7720,1.8334,154.62
0,ca,84,3,40,35,2,3.2789,2.4077,147.92
0,ca,88,3,40,36,2,2.7553,1.7878,163.28
0,ca,89,3,40,68,2,2.8305,1.9689,150.71
0,ca,90,3,40,28,2,3.0095,1.9736,174.03
0,ca,91,3,40,101,2,3.2767,2.3212,166.09
0,ca,101,3,40,69,2,2.7386,1.8196,156.52
0,ca,104,3,40,6,2,2.8796,2.0819,141.59
0,ca,105,3,40,100,2,2.8186,1.8456,164.33
0,ca,106,3,40,94,2,2.5828,1.7157,149.26
0,ca,107,3,40,48,2,2.6501,1.7089,154.14
0,ca,108,3,40,60,2,2.7365,1.7051,167.61
0,ca,110,3,40,50,2,2.7718,1.8151,163.52
0,ca,113,3,40,43,2,2.6887,1.8338,150.69
0,ca,116,3,40,2,2,3.0191,2.1345,146.82
0,ca,117,3,40,26,2,3.0227,2.0590,160.87
0,ca,119,3,40,115,2,2.5813,1.5853,162.37
0,ca,121,3,40,7,2,3.1150,2.1208,161.56
